aseapu,military aid
määrätä,to order
pysyvä,permanent
riita,dispute
täysi,full
vallata,to conquer
yleinen,common
menneisyys,the past
laite,device
tilasto,statistics
edes,even
uutistoimisto,news agency
pyrkiä,to strive
tukea,to support
rauhanneuvottelu,peace negotiation
luottamus,trust
neuvonantaja,advisor
keskeyttää,to interrupt
johtava,leading
yksityiskohta,detail
ajankohta,timing
vakava,serious
välttämätön,necessary
liittolainen,ally
vierailu,visit
suhtautua,to react
halukkuus,willingness
edustaja,representative
saavuttaa,to achieve
kehua,to praise
itsetunto,self-esteem
toisinaan,sometimes
uneton,sleepless
ryhtyä,to begin
jakaminen,sharing
pohjata,to base on
haitata,to hinder
lähin,nearest
pysäyttämätön,unstoppable
hulluus,madness
tuulenpuuska,wind gust
tiedottaja,spokesperson
saattaa,may / might
mikäli,if
rauha,peace
sopimus,agreement
virasto,office / agency
väkivalta,violence
tavoite,goal
muutos,change
